id,navn,stemmeseddel_navn,parti,storkreds,opstillingskredse
f94fa5a1-9eb5-4de3-97e0-19b44e8b31ef,Kristian Stokholm,Kristian Stokholm,Radikale,Sjælland,"['Næstved', 'Guldborgsund', 'Holbæk', 'Ringsted', 'Lolland', 'Kalundborg', 'Vordingborg', 'Køge', 'Greve', 'Roskilde', 'Faxe', 'Slagelse']"
fafe715f-e4c5-428e-b265-07616f61e49c,Sofie Wagner Lærkesen Holm,Sofie Holm,Radikale,Sjælland,"['Greve', 'Guldborgsund', 'Kalundborg', 'Faxe', 'Lolland', 'Vordingborg', 'Roskilde', 'Køge', 'Næstved', 'Holbæk', 'Slagelse', 'Ringsted']"
5fb8791e-954b-44e1-b8cc-31cd816211d3,Johan Henrik Marcus Knuth,Marcus Knuth,Konservative,Sjælland,"['Næstved', 'Holbæk', 'Vordingborg', 'Ringsted', 'Faxe', 'Slagelse', 'Lolland', 'Guldborgsund', 'Køge', 'Greve', 'Kalundborg', 'Roskilde']"
6d37be75-7bfe-485c-ae93-6515445e6261,Jacob Anders Guldberg Stryhn,Jacob Stryhn,Konservative,Sjælland,"['Kalundborg', 'Holbæk', 'Ringsted', 'Vordingborg', 'Greve', 'Lolland', 'Roskilde', 'Slagelse', 'Guldborgsund', 'Næstved', 'Faxe', 'Køge']"
75dc08ce-8e1d-4701-89c8-af9d5dd34c97,Mads Ramstedt,Mads Ramstedt,Konservative,Sjælland,"['Slagelse', 'Lolland', 'Vordingborg', 'Køge', 'Greve', 'Kalundborg', 'Roskilde', 'Faxe', 'Ringsted', 'Holbæk', 'Næstved', 'Guldborgsund']"
77931313-1a4e-49b7-b41e-aa2b68878553,Ida Dyhr,Ida Dyhr,Konservative,Sjælland,"['Holbæk', 'Kalundborg', 'Vordingborg', 'Næstved', 'Roskilde', 'Faxe', 'Slagelse', 'Greve', 'Guldborgsund', 'Køge', 'Ringsted', 'Lolland']"
843653d5-fffd-4e6e-a0e7-9ca4e9684fbf,Rune Kristensen,Rune Kristensen,Konservative,Sjælland,"['Faxe', 'Vordingborg', 'Kalundborg', 'Greve', 'Lolland', 'Slagelse', 'Køge', 'Roskilde', 'Holbæk', 'Ringsted', 'Guldborgsund', 'Næstved']"
856e1c2d-7509-4b85-96af-b01de0b6d523,Jane Christensen,Jane Christensen,Konservative,Sjælland,"['Guldborgsund', 'Faxe', 'Roskilde', 'Lolland', 'Næstved', 'Slagelse', 'Kalundborg', 'Ringsted', 'Køge', 'Holbæk', 'Greve', 'Vordingborg']"
9d607511-53c2-4cc1-b92f-6d51032bb6e9,Barbara Christine Engelstoft,Barbara Engelstoft,Konservative,Sjælland,"['Holbæk', 'Næstved', 'Slagelse', 'Køge', 'Ringsted', 'Greve', 'Vordingborg', 'Guldborgsund', 'Faxe', 'Lolland', 'Roskilde', 'Kalundborg']"
a0162cb4-6f33-47bb-afbc-bf6c06b0e6b0,Poul Henrik Jacobsen,Henrik Jacobsen,Konservative,Sjælland,"['Ringsted', 'Slagelse', 'Lolland', 'Holbæk', 'Næstved', 'Kalundborg', 'Guldborgsund', 'Greve', 'Køge', 'Roskilde', 'Vordingborg', 'Faxe']"
