Afstemningsområde,Partibogstav,Stemmetal,procent_22
23. Rådhuset,DF,220,1.3
23. Rådhuset,FG,114,0.7
23. Rådhuset,V,2062,11.9
23. Rådhuset,ALT,772,4.4
23. Rådhuset,DD,436,2.5
23. Rådhuset,EL,1398,8.0
23. Snejbjerg,UP,4,0.1
23. Snejbjerg,S,1634,23.2
23. Snejbjerg,R,118,1.7
23. Snejbjerg,K,474,6.7
23. Snejbjerg,NB,194,2.8
23. Snejbjerg,SF,408,5.8
23. Snejbjerg,LA,652,9.3
23. Snejbjerg,M,622,8.8
23. Snejbjerg,DF,114,1.6
23. Snejbjerg,FG,36,0.5
23. Snejbjerg,V,1564,22.2
23. Snejbjerg,ALT,48,0.7
23. Snejbjerg,DD,960,13.7
23. Snejbjerg,EL,82,1.2
23. Toftlund,UP,2,0.0
23. Toftlund,S,1284,26.4
23. Toftlund,R,58,1.2
23. Toftlund,K,130,2.7
23. Toftlund,NB,394,8.1
23. Toftlund,SF,182,3.7
23. Toftlund,LA,264,5.4
23. Toftlund,M,584,12.0
23. Toftlund,DF,156,3.2
23. Toftlund,FG,10,0.2
23. Toftlund,V,918,18.9
23. Toftlund,ALT,38,0.8
23. Toftlund,DD,720,14.8
23. Toftlund,EL,72,1.5
23. Øster Nykirke Nord,UP,2,0.1
23. Øster Nykirke Nord,S,392,20.3
23. Øster Nykirke Nord,R,22,1.1
23. Øster Nykirke Nord,K,94,4.9
23. Øster Nykirke Nord,NB,106,5.5
23. Øster Nykirke Nord,SF,98,5.1
23. Øster Nykirke Nord,LA,132,6.8
23. Øster Nykirke Nord,M,170,8.8
23. Øster Nykirke Nord,DF,54,2.8
23. Øster Nykirke Nord,FG,4,0.2
23. Øster Nykirke Nord,V,412,21.3
23. Øster Nykirke Nord,ALT,42,2.2
23. Øster Nykirke Nord,DD,364,18.9
23. Øster Nykirke Nord,EL,22,1.1
24. 5. Vest,UP,26,0.2
24. 5. Vest,S,1674,14.5
24. 5. Vest,R,910,7.9
24. 5. Vest,K,274,2.4
24. 5. Vest,NB,94,0.8
24. 5. Vest,SF,1628,14.1
24. 5. Vest,LA,602,5.2
24. 5. Vest,M,766,6.6
24. 5. Vest,DF,110,1.0
24. 5. Vest,FG,364,3.2
24. 5. Vest,V,590,5.1
24. 5. Vest,ALT,1658,14.4
24. 5. Vest,DD,120,1.0
24. 5. Vest,EL,2722,23.6
24. Brabrand Hallen,UP,22,0.2
24. Brabrand Hallen,S,2640,24.5
24. Brabrand Hallen,R,720,6.7
24. Brabrand Hallen,K,586,5.4
24. Brabrand Hallen,NB,186,1.7
24. Brabrand Hallen,SF,1426,13.2
24. Brabrand Hallen,LA,870,8.1
24. Brabrand Hallen,M,1094,10.2
24. Brabrand Hallen,DF,146,1.4
24. Brabrand Hallen,FG,170,1.6
24. Brabrand Hallen,V,1278,11.9
24. Brabrand Hallen,ALT,548,5.1
24. Brabrand Hallen,DD,352,3.3
24. Brabrand Hallen,EL,674,6.3
24. Brøns,UP,0,0.0
24. Brøns,S,254,22.1
24. Brøns,R,16,1.4
24. Brøns,K,40,3.5
24. Brøns,NB,150,13.1
24. Brøns,SF,50,4.4
24. Brøns,LA,88,7.7
24. Brøns,M,136,11.8
24. Brøns,DF,50,4.4
24. Brøns,FG,0,0.0
24. Brøns,V,124,10.8
24. Brøns,ALT,14,1.2
24. Brøns,DD,200,17.4
24. Brøns,EL,22,1.9
24. Fjelstrup,UP,4,0.2
24. Fjelstrup,S,458,28.5
24. Fjelstrup,R,12,0.7
24. Fjelstrup,K,64,4.0
24. Fjelstrup,NB,158,9.8
24. Fjelstrup,SF,56,3.5
24. Fjelstrup,LA,114,7.1
24. Fjelstrup,M,120,7.5
24. Fjelstrup,DF,60,3.7
24. Fjelstrup,FG,0,0.0
24. Fjelstrup,V,264,16.4
24. Fjelstrup,ALT,14,0.9
24. Fjelstrup,DD,242,15.0
24. Fjelstrup,EL,26,1.6
24. Fåborg,UP,0,0.0
24. Fåborg,S,108,13.5
24. Fåborg,R,18,2.2
24. Fåborg,K,54,6.7
24. Fåborg,NB,46,5.7
24. Fåborg,SF,24,3.0
24. Fåborg,LA,30,3.7
24. Fåborg,M,72,9.0
24. Fåborg,DF,32,4.0
24. Fåborg,FG,0,0.0
24. Fåborg,V,228,28.4
24. Fåborg,ALT,16,2.0
24. Fåborg,DD,160,20.0
24. Fåborg,EL,10,1.2
24. Gjessø,UP,2,0.1
24. Gjessø,S,324,20.2
24. Gjessø,R,44,2.7
24. Gjessø,K,112,7.0
24. Gjessø,NB,32,2.0
24. Gjessø,SF,122,7.6
24. Gjessø,LA,154,9.6
24. Gjessø,M,156,9.7
24. Gjessø,DF,42,2.6
24. Gjessø,FG,2,0.1
24. Gjessø,V,320,20.0
24. Gjessø,ALT,66,4.1
24. Gjessø,DD,168,10.5
24. Gjessø,EL,46,2.9
24. Jelling Nord,UP,12,0.2
24. Jelling Nord,S,1620,27.1
24. Jelling Nord,R,276,4.6
24. Jelling Nord,K,306,5.1
24. Jelling Nord,NB,174,2.9
24. Jelling Nord,SF,648,10.9
24. Jelling Nord,LA,380,6.4
24. Jelling Nord,M,666,11.2
24. Jelling Nord,DF,68,1.1
24. Jelling Nord,FG,8,0.1
24. Jelling Nord,V,928,15.5
24. Jelling Nord,ALT,166,2.8
24. Jelling Nord,DD,470,7.9
24. Jelling Nord,EL,198,3.3
24. Kobberbakkeskolen - Sct. Jørge,UP,10,0.1
24. Kobberbakkeskolen - Sct. Jørge,S,3126,38.6
24. Kobberbakkeskolen - Sct. Jørge,R,140,1.7
24. Kobberbakkeskolen - Sct. Jørge,K,384,4.7
24. Kobberbakkeskolen - Sct. Jørge,NB,292,3.6
24. Kobberbakkeskolen - Sct. Jørge,SF,776,9.6
24. Kobberbakkeskolen - Sct. Jørge,LA,478,5.9
24. Kobberbakkeskolen - Sct. Jørge,M,838,10.3
24. Kobberbakkeskolen - Sct. Jørge,DF,330,4.1
24. Kobberbakkeskolen - Sct. Jørge,FG,26,0.3
24. Kobberbakkeskolen - Sct. Jørge,V,796,9.8
24. Kobberbakkeskolen - Sct. Jørge,ALT,116,1.4
24. Kobberbakkeskolen - Sct. Jørge,DD,572,7.1
24. Kobberbakkeskolen - Sct. Jørge,EL,196,2.4
24. Psykiatriens Hus,UP,2,0.0
24. Psykiatriens Hus,S,2348,34.7
24. Psykiatriens Hus,R,172,2.5
24. Psykiatriens Hus,K,274,4.0
24. Psykiatriens Hus,NB,242,3.6
24. Psykiatriens Hus,SF,612,9.0
24. Psykiatriens Hus,LA,626,9.3
24. Psykiatriens Hus,M,444,6.6
24. Psykiatriens Hus,DF,210,3.1
24. Psykiatriens Hus,FG,14,0.2
24. Psykiatriens Hus,V,764,11.3
24. Psykiatriens Hus,ALT,164,2.4
24. Psykiatriens Hus,DD,452,6.7
24. Psykiatriens Hus,EL,400,5.9
24. Sct. Knuds Gymnasium,UP,0,0.0
24. Sct. Knuds Gymnasium,S,1420,18.8
24. Sct. Knuds Gymnasium,R,414,5.5
24. Sct. Knuds Gymnasium,K,832,11.0
24. Sct. Knuds Gymnasium,NB,118,1.6
24. Sct. Knuds Gymnasium,SF,602,8.0
24. Sct. Knuds Gymnasium,LA,890,11.8
24. Sct. Knuds Gymnasium,M,1188,15.7
24. Sct. Knuds Gymnasium,DF,90,1.2
24. Sct. Knuds Gymnasium,FG,20,0.3
24. Sct. Knuds Gymnasium,V,1246,16.5
24. Sct. Knuds Gymnasium,ALT,176,2.3
24. Sct. Knuds Gymnasium,DD,260,3.4
24. Sct. Knuds Gymnasium,EL,304,4.0
24. Skjern,UP,4,0.0
24. Skjern,S,2352,23.6
24. Skjern,R,132,1.3
24. Skjern,K,650,6.5
24. Skjern,NB,264,2.6
24. Skjern,SF,374,3.7
24. Skjern,LA,822,8.2
24. Skjern,M,740,7.4
24. Skjern,DF,156,1.6
24. Skjern,FG,32,0.3
24. Skjern,V,2398,24.0
24. Skjern,ALT,68,0.7
24. Skjern,DD,1306,13.1
24. Skjern,EL,118,1.2
24. Sunds,UP,8,0.1
24. Sunds,S,1412,22.4
24. Sunds,R,72,1.1
24. Sunds,K,512,8.1
24. Sunds,NB,192,3.0
24. Sunds,SF,276,4.4
24. Sunds,LA,544,8.6
24. Sunds,M,488,7.7
24. Sunds,DF,102,1.6
24. Sunds,FG,6,0.1
24. Sunds,V,1388,22.0
24. Sunds,ALT,52,0.8
24. Sunds,DD,1110,17.6
24. Sunds,EL,76,1.2
24. Svenstruphallen,UP,6,0.1
24. Svenstruphallen,S,3506,36.0
24. Svenstruphallen,R,316,3.2
24. Svenstruphallen,K,448,4.6
24. Svenstruphallen,NB,264,2.7
24. Svenstruphallen,SF,644,6.6
24. Svenstruphallen,LA,684,7.0
24. Svenstruphallen,M,756,7.8
24. Svenstruphallen,DF,158,1.6
24. Svenstruphallen,FG,16,0.2
24. Svenstruphallen,V,1344,13.8
24. Svenstruphallen,ALT,206,2.1
24. Svenstruphallen,DD,1090,11.2
24. Svenstruphallen,EL,268,2.8
24. Sønderris,UP,0,0.0
24. Sønderris,S,1594,32.0
24. Sønderris,R,112,2.3
24. Sønderris,K,258,5.2
24. Sønderris,NB,252,5.1
24. Sønderris,SF,244,4.9
24. Sønderris,LA,444,8.9
24. Sønderris,M,560,11.3
24. Sønderris,DF,110,2.2
24. Sønderris,FG,6,0.1
24. Sønderris,V,800,16.1
24. Sønderris,ALT,28,0.6
24. Sønderris,DD,458,9.2
24. Sønderris,EL,60,1.2
24. Vestermose,UP,0,0.0
24. Vestermose,S,354,20.7
24. Vestermose,R,22,1.3
24. Vestermose,K,62,3.6
24. Vestermose,NB,132,7.7
24. Vestermose,SF,110,6.4
24. Vestermose,LA,146,8.5
24. Vestermose,M,234,13.7
24. Vestermose,DF,80,4.7
24. Vestermose,FG,2,0.1
24. Vestermose,V,320,18.7
24. Vestermose,ALT,34,2.0
24. Vestermose,DD,188,11.0
24. Vestermose,EL,20,1.2
24. Ølholm,UP,4,0.3
24. Ølholm,S,332,28.3
24. Ølholm,R,10,0.9
24. Ølholm,K,44,3.7
24. Ølholm,NB,40,3.4
24. Ølholm,SF,42,3.6
24. Ølholm,LA,96,8.2
24. Ølholm,M,76,6.5
24. Ølholm,DF,40,3.4
24. Ølholm,FG,2,0.2
24. Ølholm,V,244,20.8
24. Ølholm,ALT,8,0.7
24. Ølholm,DD,188,16.0
24. Ølholm,EL,30,2.6
25. 5. Nordvest,UP,30,0.2
25. 5. Nordvest,S,1864,11.3
25. 5. Nordvest,R,1546,9.4
25. 5. Nordvest,K,368,2.2
25. 5. Nordvest,NB,138,0.8
25. 5. Nordvest,SF,2198,13.4
25. 5. Nordvest,LA,810,4.9
25. 5. Nordvest,M,1136,6.9
25. 5. Nordvest,DF,124,0.8
25. 5. Nordvest,FG,444,2.7
25. 5. Nordvest,V,786,4.8
25. 5. Nordvest,ALT,2630,16.0
25. 5. Nordvest,DD,106,0.6
25. 5. Nordvest,EL,4254,25.8
25. Bevtoft,UP,2,0.1
25. Bevtoft,S,366,23.7
25. Bevtoft,R,28,1.8
25. Bevtoft,K,38,2.5
25. Bevtoft,NB,176,11.4
25. Bevtoft,SF,52,3.4
25. Bevtoft,LA,86,5.6
25. Bevtoft,M,106,6.9
25. Bevtoft,DF,64,4.1
25. Bevtoft,FG,2,0.1
25. Bevtoft,V,302,19.6
25. Bevtoft,ALT,18,1.2
25. Bevtoft,DD,250,16.2
25. Bevtoft,EL,14,0.9
25. Borris,UP,0,0.0
25. Borris,S,264,17.2
25. Borris,R,8,0.5
25. Borris,K,74,4.8
25. Borris,NB,54,3.5
25. Borris,SF,46,3.0
25. Borris,LA,110,7.2
25. Borris,M,68,4.4
25. Borris,DF,38,2.5
25. Borris,FG,0,0.0
25. Borris,V,526,34.3
25. Borris,ALT,16,1.0
25. Borris,DD,272,17.8
25. Borris,EL,16,1.0
25. Bramming,UP,6,0.0
25. Bramming,S,3726,29.1
25. Bramming,R,206,1.6
25. Bramming,K,576,4.5
25. Bramming,NB,796,6.2
25. Bramming,SF,700,5.5
25. Bramming,LA,978,7.6
25. Bramming,M,1196,9.3
25. Bramming,DF,314,2.5
25. Bramming,FG,14,0.1
25. Bramming,V,2160,16.9
25. Bramming,ALT,148,1.2
25. Bramming,DD,1650,12.9
25. Bramming,EL,250,2.0
25. Ellebækskolen - Kalbyris,UP,10,0.2
25. Ellebækskolen - Kalbyris,S,1564,36.3
25. Ellebækskolen - Kalbyris,R,120,2.8
25. Ellebækskolen - Kalbyris,K,212,4.9
25. Ellebækskolen - Kalbyris,NB,250,5.8
25. Ellebækskolen - Kalbyris,SF,428,9.9
25. Ellebækskolen - Kalbyris,LA,280,6.5
25. Ellebækskolen - Kalbyris,M,400,9.3
25. Ellebækskolen - Kalbyris,DF,164,3.8
25. Ellebækskolen - Kalbyris,FG,24,0.6
25. Ellebækskolen - Kalbyris,V,372,8.6
25. Ellebækskolen - Kalbyris,ALT,82,1.9
25. Ellebækskolen - Kalbyris,DD,268,6.2
25. Ellebækskolen - Kalbyris,EL,132,3.1
25. Globus 1,UP,12,0.2
25. Globus 1,S,1040,16.5
25. Globus 1,R,400,6.3
25. Globus 1,K,184,2.9
25. Globus 1,NB,80,1.3
25. Globus 1,SF,558,8.8
25. Globus 1,LA,394,6.2
25. Globus 1,M,468,7.4
25. Globus 1,DF,68,1.1
25. Globus 1,FG,1352,21.4
25. Globus 1,V,334,5.3
25. Globus 1,ALT,292,4.6
25. Globus 1,DD,108,1.7
25. Globus 1,EL,902,14.3
25. Hesselager,UP,2,0.1
25. Hesselager,S,576,31.9
25. Hesselager,R,20,1.1
25. Hesselager,K,80,4.4
25. Hesselager,NB,108,6.0
25. Hesselager,SF,142,7.9
25. Hesselager,LA,108,6.0
25. Hesselager,M,148,8.2
25. Hesselager,DF,74,4.1
25. Hesselager,FG,2,0.1
25. Hesselager,V,192,10.6
25. Hesselager,ALT,48,2.7
25. Hesselager,DD,236,13.1
25. Hesselager,EL,70,3.9
25. Hjortsvang,UP,0,0.0
25. Hjortsvang,S,98,17.8
25. Hjortsvang,R,6,1.1
25. Hjortsvang,K,12,2.2
25. Hjortsvang,NB,46,8.3
25. Hjortsvang,SF,40,7.2
25. Hjortsvang,LA,48,8.7
25. Hjortsvang,M,32,5.8
25. Hjortsvang,DF,8,1.4
25. Hjortsvang,FG,0,0.0
25. Hjortsvang,V,110,19.9
25. Hjortsvang,ALT,14,2.5
25. Hjortsvang,DD,118,21.4
25. Hjortsvang,EL,20,3.6
25. Hjøllund,UP,10,1.7
25. Hjøllund,S,124,21.7
25. Hjøllund,R,16,2.8
25. Hjøllund,K,26,4.5
25. Hjøllund,NB,26,4.5
25. Hjøllund,SF,36,6.3
25. Hjøllund,LA,32,5.6
25. Hjøllund,M,32,5.6
25. Hjøllund,DF,2,0.3
25. Hjøllund,FG,0,0.0
25. Hjøllund,V,74,12.9
25. Hjøllund,ALT,50,8.7
25. Hjøllund,DD,60,10.5
25. Hjøllund,EL,84,14.7
25. Hobrovejens Skole,UP,2,0.0
25. Hobrovejens Skole,S,1288,30.6
25. Hobrovejens Skole,R,90,2.1
25. Hobrovejens Skole,K,158,3.8
25. Hobrovejens Skole,NB,186,4.4
25. Hobrovejens Skole,SF,384,9.1
25. Hobrovejens Skole,LA,498,11.8
25. Hobrovejens Skole,M,274,6.5
25. Hobrovejens Skole,DF,96,2.3
25. Hobrovejens Skole,FG,10,0.2
25. Hobrovejens Skole,V,490,11.7
25. Hobrovejens Skole,ALT,150,3.6
25. Hobrovejens Skole,DD,288,6.9
25. Hobrovejens Skole,EL,266,6.3
25. Kollerup-Sandvad Nord,UP,0,0.0
25. Kollerup-Sandvad Nord,S,424,19.6
25. Kollerup-Sandvad Nord,R,44,2.0
25. Kollerup-Sandvad Nord,K,66,3.1
25. Kollerup-Sandvad Nord,NB,174,8.1
25. Kollerup-Sandvad Nord,SF,160,7.4
25. Kollerup-Sandvad Nord,LA,154,7.1
25. Kollerup-Sandvad Nord,M,180,8.3
25. Kollerup-Sandvad Nord,DF,54,2.5
25. Kollerup-Sandvad Nord,FG,2,0.1
25. Kollerup-Sandvad Nord,V,414,19.2
25. Kollerup-Sandvad Nord,ALT,66,3.1
25. Kollerup-Sandvad Nord,DD,330,15.3
25. Kollerup-Sandvad Nord,EL,64,3.0
25. Rosengårdskolen,UP,8,0.1
25. Rosengårdskolen,S,3370,29.1
25. Rosengårdskolen,R,568,4.9
25. Rosengårdskolen,K,694,6.0
25. Rosengårdskolen,NB,248,2.1
25. Rosengårdskolen,SF,1174,10.1
25. Rosengårdskolen,LA,996,8.6
25. Rosengårdskolen,M,1278,11.0
25. Rosengårdskolen,DF,194,1.7
25. Rosengårdskolen,FG,206,1.8
25. Rosengårdskolen,V,1108,9.6
25. Rosengårdskolen,ALT,452,3.9
25. Rosengårdskolen,DD,452,3.9
25. Rosengårdskolen,EL,796,6.9
25. Stillinge,UP,4,0.1
25. Stillinge,S,1412,31.4
25. Stillinge,R,44,1.0
25. Stillinge,K,166,3.7
25. Stillinge,NB,246,5.5
25. Stillinge,SF,294,6.5
25. Stillinge,LA,230,5.1
25. Stillinge,M,500,11.1
25. Stillinge,DF,166,3.7
25. Stillinge,FG,4,0.1
25. Stillinge,V,768,17.1
25. Stillinge,ALT,42,0.9
25. Stillinge,DD,542,12.1
25. Stillinge,EL,72,1.6
25. Timring,UP,0,0.0
25. Timring,S,262,17.1
25. Timring,R,10,0.7
25. Timring,K,76,5.0
25. Timring,NB,42,2.7
25. Timring,SF,78,5.1
25. Timring,LA,108,7.1
25. Timring,M,106,6.9
25. Timring,DF,36,2.4
25. Timring,FG,2,0.1
25. Timring,V,376,24.6
25. Timring,ALT,14,0.9
25. Timring,DD,346,22.6
25. Timring,EL,14,0.9
25. Tønder,UP,24,0.3
25. Tønder,S,2894,31.7
25. Tønder,R,188,2.1
25. Tønder,K,600,6.6
25. Tønder,NB,396,4.3
25. Tønder,SF,856,9.4
25. Tønder,LA,520,5.7
25. Tønder,M,1080,11.8
25. Tønder,DF,224,2.5
25. Tønder,FG,8,0.1
25. Tønder,V,1122,12.3
25. Tønder,ALT,98,1.1
25. Tønder,DD,858,9.4
25. Tønder,EL,208,2.3
26. Birket,UP,2,0.3
26. Birket,S,216,35.5
26. Birket,R,2,0.3
26. Birket,K,18,3.0
26. Birket,NB,16,2.6
26. Birket,SF,34,5.6
26. Birket,LA,20,3.3
26. Birket,M,42,6.9
26. Birket,DF,34,5.6
26. Birket,FG,0,0.0
26. Birket,V,92,15.1
26. Birket,ALT,10,1.6
26. Birket,DD,80,13.2
26. Birket,EL,36,5.9
26. Faster,UP,0,0.0
26. Faster,S,132,13.5
26. Faster,R,10,1.0
26. Faster,K,56,5.7
26. Faster,NB,54,5.5
26. Faster,SF,12,1.2
26. Faster,LA,58,5.9
26. Faster,M,44,4.5
26. Faster,DF,2,0.2
26. Faster,FG,2,0.2
26. Faster,V,306,31.4
26. Faster,ALT,2,0.2
26. Faster,DD,212,21.7
26. Faster,EL,6,0.6
26. Grejs Nord,UP,4,0.2
26. Grejs Nord,S,544,24.4
26. Grejs Nord,R,84,3.8
26. Grejs Nord,K,138,6.2
26. Grejs Nord,NB,92,4.1
26. Grejs Nord,SF,164,7.4
26. Grejs Nord,LA,242,10.9
26. Grejs Nord,M,214,9.6
26. Grejs Nord,DF,46,2.1
26. Grejs Nord,FG,8,0.4
26. Grejs Nord,V,406,18.2
26. Grejs Nord,ALT,30,1.3
26. Grejs Nord,DD,168,7.5
26. Grejs Nord,EL,52,2.3
26. Langsøskolen,UP,2,0.1
26. Langsøskolen,S,1214,33.0
26. Langsøskolen,R,90,2.4
26. Langsøskolen,K,210,5.7
26. Langsøskolen,NB,98,2.7
26. Langsøskolen,SF,336,9.1
26. Langsøskolen,LA,208,5.7
26. Langsøskolen,M,398,10.8
26. Langsøskolen,DF,68,1.8
26. Langsøskolen,FG,26,0.7
26. Langsøskolen,V,514,14.0
26. Langsøskolen,ALT,78,2.1
26. Langsøskolen,DD,238,6.5
26. Langsøskolen,EL,174,4.7
26. Lille Næstved Skole - Herlufsh,UP,4,0.1
26. Lille Næstved Skole - Herlufsh,S,1426,28.7
26. Lille Næstved Skole - Herlufsh,R,158,3.2
26. Lille Næstved Skole - Herlufsh,K,418,8.4
26. Lille Næstved Skole - Herlufsh,NB,114,2.3
26. Lille Næstved Skole - Herlufsh,SF,434,8.8
26. Lille Næstved Skole - Herlufsh,LA,458,9.2
26. Lille Næstved Skole - Herlufsh,M,660,13.3
26. Lille Næstved Skole - Herlufsh,DF,126,2.5
26. Lille Næstved Skole - Herlufsh,FG,6,0.1
26. Lille Næstved Skole - Herlufsh,V,682,13.8
26. Lille Næstved Skole - Herlufsh,ALT,90,1.8
26. Lille Næstved Skole - Herlufsh,DD,238,4.8
26. Lille Næstved Skole - Herlufsh,EL,144,2.9
26. Næsbjerg,UP,0,0.0
26. Næsbjerg,S,348,19.4
26. Næsbjerg,R,24,1.3
26. Næsbjerg,K,82,4.6
26. Næsbjerg,NB,148,8.2
26. Næsbjerg,SF,74,4.1
26. Næsbjerg,LA,170,9.5
26. Næsbjerg,M,164,9.1
26. Næsbjerg,DF,28,1.6
26. Næsbjerg,FG,4,0.2
26. Næsbjerg,V,474,26.4
26. Næsbjerg,ALT,10,0.6
26. Næsbjerg,DD,250,13.9
26. Næsbjerg,EL,12,0.7
26. Randers Badmintonhaller,UP,14,0.2
26. Randers Badmintonhaller,S,2648,43.2
26. Randers Badmintonhaller,R,102,1.7
26. Randers Badmintonhaller,K,198,3.2
26. Randers Badmintonhaller,NB,240,3.9
26. Randers Badmintonhaller,SF,414,6.7
26. Randers Badmintonhaller,LA,464,7.6
26. Randers Badmintonhaller,M,288,4.7
26. Randers Badmintonhaller,DF,260,4.2
26. Randers Badmintonhaller,FG,24,0.4
26. Randers Badmintonhaller,V,588,9.6
26. Randers Badmintonhaller,ALT,64,1.0
26. Randers Badmintonhaller,DD,574,9.4
26. Randers Badmintonhaller,EL,220,3.6
26. Sanderumhallen,UP,16,0.1
26. Sanderumhallen,S,4530,32.9
26. Sanderumhallen,R,428,3.1
26. Sanderumhallen,K,966,7.0
26. Sanderumhallen,NB,312,2.3
26. Sanderumhallen,SF,1102,8.0
26. Sanderumhallen,LA,836,6.1
26. Sanderumhallen,M,1642,11.9
26. Sanderumhallen,DF,328,2.4
26. Sanderumhallen,FG,78,0.6
26. Sanderumhallen,V,1774,12.9
26. Sanderumhallen,ALT,326,2.4
26. Sanderumhallen,DD,894,6.5
26. Sanderumhallen,EL,494,3.6
26. Skjoldhøjskolen,UP,10,0.2
26. Skjoldhøjskolen,S,1992,30.7
26. Skjoldhøjskolen,R,298,4.6
26. Skjoldhøjskolen,K,290,4.5
26. Skjoldhøjskolen,NB,142,2.2
26. Skjoldhøjskolen,SF,578,8.9
26. Skjoldhøjskolen,LA,350,5.4
26. Skjoldhøjskolen,M,502,7.7
26. Skjoldhøjskolen,DF,156,2.4
26. Skjoldhøjskolen,FG,338,5.2
26. Skjoldhøjskolen,V,558,8.6
26. Skjoldhøjskolen,ALT,242,3.7
26. Skjoldhøjskolen,DD,328,5.1
26. Skjoldhøjskolen,EL,614,9.5
26. Tjørring,UP,4,0.0
26. Tjørring,S,1946,24.0
26. Tjørring,R,132,1.6
26. Tjørring,K,590,7.3
26. Tjørring,NB,196,2.4
26. Tjørring,SF,460,5.7
26. Tjørring,LA,788,9.7
26. Tjørring,M,748,9.2
26. Tjørring,DF,130,1.6
26. Tjørring,FG,34,0.4
26. Tjørring,V,1672,20.6
26. Tjørring,ALT,74,0.9
26. Tjørring,DD,956,11.8
26. Tjørring,EL,124,1.5
26. Tolne,UP,2,0.1
26. Tolne,S,414,27.2
26. Tolne,R,20,1.3
26. Tolne,K,66,4.3
26. Tolne,NB,130,8.6
26. Tolne,SF,74,4.9
26. Tolne,LA,78,5.1
26. Tolne,M,62,4.1
26. Tolne,DF,40,2.6
26. Tolne,FG,2,0.1
26. Tolne,V,210,13.8
26. Tolne,ALT,22,1.4
26. Tolne,DD,338,22.2
26. Tolne,EL,52,3.4
26. Vojens Øst,UP,4,0.1
26. Vojens Øst,S,1540,35.9
26. Vojens Øst,R,46,1.1
26. Vojens Øst,K,150,3.5
26. Vojens Øst,NB,402,9.4
26. Vojens Øst,SF,182,4.2
26. Vojens Øst,LA,250,5.8
26. Vojens Øst,M,202,4.7
26. Vojens Øst,DF,180,4.2
26. Vojens Øst,FG,2,0.0
26. Vojens Øst,V,630,14.7
26. Vojens Øst,ALT,42,1.0
26. Vojens Øst,DD,568,13.3
26. Vojens Øst,EL,64,1.5
27. 6. Bispebjerg,UP,20,0.1
27. 6. Bispebjerg,S,2226,14.1
27. 6. Bispebjerg,R,1288,8.2
27. 6. Bispebjerg,K,434,2.8
27. 6. Bispebjerg,NB,232,1.5
27. 6. Bispebjerg,SF,1910,12.1
27. 6. Bispebjerg,LA,902,5.7
27. 6. Bispebjerg,M,1018,6.5
27. 6. Bispebjerg,DF,220,1.4
27. 6. Bispebjerg,FG,790,5.0
27. 6. Bispebjerg,V,778,4.9
27. 6. Bispebjerg,ALT,2030,12.9
27. 6. Bispebjerg,DD,238,1.5
27. 6. Bispebjerg,EL,3636,23.1
27. Abild,UP,2,0.2
27. Abild,S,308,23.8
27. Abild,R,16,1.2
27. Abild,K,76,5.9
27. Abild,NB,106,8.2
27. Abild,SF,54,4.2
27. Abild,LA,64,4.9
27. Abild,M,114,8.8
27. Abild,DF,54,4.2
27. Abild,FG,4,0.3
27. Abild,V,182,14.0
27. Abild,ALT,10,0.8
27. Abild,DD,294,22.7
27. Abild,EL,8,0.6
27. Bredsten Nord,UP,2,0.1
27. Bredsten Nord,S,756,25.4
27. Bredsten Nord,R,76,2.6
27. Bredsten Nord,K,154,5.2
27. Bredsten Nord,NB,150,5.0
27. Bredsten Nord,SF,140,4.7
27. Bredsten Nord,LA,244,8.2
27. Bredsten Nord,M,300,10.1
27. Bredsten Nord,DF,52,1.7
27. Bredsten Nord,FG,0,0.0
27. Bredsten Nord,V,604,20.3
27. Bredsten Nord,ALT,60,2.0
27. Bredsten Nord,DD,376,12.7
27. Bredsten Nord,EL,38,1.3
27. Fejø,UP,0,0.0
27. Fejø,S,184,30.2
27. Fejø,R,8,1.3
27. Fejø,K,14,2.3
27. Fejø,NB,30,4.9
27. Fejø,SF,58,9.5
27. Fejø,LA,26,4.3
27. Fejø,M,48,7.9
27. Fejø,DF,22,3.6
27. Fejø,FG,2,0.3
27. Fejø,V,52,8.5
27. Fejø,ALT,42,6.9
27. Fejø,DD,84,13.8
27. Fejø,EL,40,6.6
27. Herlufsholmhallen,UP,10,0.1
27. Herlufsholmhallen,S,2554,31.6
27. Herlufsholmhallen,R,278,3.4
27. Herlufsholmhallen,K,502,6.2
27. Herlufsholmhallen,NB,302,3.7
27. Herlufsholmhallen,SF,622,7.7
27. Herlufsholmhallen,LA,656,8.1
27. Herlufsholmhallen,M,926,11.5
27. Herlufsholmhallen,DF,258,3.2
27. Herlufsholmhallen,FG,20,0.2
27. Herlufsholmhallen,V,1074,13.3
27. Herlufsholmhallen,ALT,86,1.1
27. Herlufsholmhallen,DD,612,7.6
27. Herlufsholmhallen,EL,164,2.0
27. Hobro,UP,8,0.1
27. Hobro,S,4646,35.3
27. Hobro,R,280,2.1
27. Hobro,K,670,5.1
27. Hobro,NB,344,2.6
27. Hobro,SF,732,5.6
27. Hobro,LA,764,5.8
27. Hobro,M,802,6.1
27. Hobro,DF,212,1.6
27. Hobro,FG,20,0.2
27. Hobro,V,1788,13.6
27. Hobro,ALT,242,1.8
27. Hobro,DD,2114,16.1
27. Hobro,EL,464,3.5
27. Lysbro,UP,10,0.2
