Afstemningsområde,Partibogstav,Stemmetal,procent_22
1. Dianalund,M,728,10.3
1. Dianalund,DF,304,4.3
1. Dianalund,FG,14,0.2
1. Dianalund,V,736,10.4
1. Dianalund,ALT,110,1.6
1. Dianalund,DD,860,12.2
1. Dianalund,EL,158,2.2
1. Dragør Skole,UP,2,0.0
1. Dragør Skole,S,1470,21.7
1. Dragør Skole,R,288,4.3
1. Dragør Skole,K,852,12.6
1. Dragør Skole,NB,160,2.4
1. Dragør Skole,SF,496,7.3
1. Dragør Skole,LA,786,11.6
1. Dragør Skole,M,1018,15.0
1. Dragør Skole,DF,176,2.6
1. Dragør Skole,FG,8,0.1
1. Dragør Skole,V,886,13.1
1. Dragør Skole,ALT,192,2.8
1. Dragør Skole,DD,220,3.3
1. Dragør Skole,EL,206,3.0
1. Ebeltoft,UP,10,0.1
1. Ebeltoft,S,3614,29.7
1. Ebeltoft,R,278,2.3
1. Ebeltoft,K,564,4.6
1. Ebeltoft,NB,448,3.7
1. Ebeltoft,SF,902,7.4
1. Ebeltoft,LA,874,7.2
1. Ebeltoft,M,1238,10.2
1. Ebeltoft,DF,292,2.4
1. Ebeltoft,FG,20,0.2
1. Ebeltoft,V,1534,12.6
1. Ebeltoft,ALT,560,4.6
1. Ebeltoft,DD,1170,9.6
1. Ebeltoft,EL,616,5.1
1. Ejer Bavnehøj,UP,0,0.0
1. Ejer Bavnehøj,S,690,22.7
1. Ejer Bavnehøj,R,118,3.9
1. Ejer Bavnehøj,K,124,4.1
1. Ejer Bavnehøj,NB,192,6.3
1. Ejer Bavnehøj,SF,260,8.6
1. Ejer Bavnehøj,LA,284,9.3
1. Ejer Bavnehøj,M,298,9.8
1. Ejer Bavnehøj,DF,80,2.6
1. Ejer Bavnehøj,FG,8,0.3
1. Ejer Bavnehøj,V,386,12.7
1. Ejer Bavnehøj,ALT,96,3.2
1. Ejer Bavnehøj,DD,324,10.7
1. Ejer Bavnehøj,EL,164,5.4
1. Ejstrup,UP,0,0.0
1. Ejstrup,S,658,21.7
1. Ejstrup,R,26,0.9
1. Ejstrup,K,176,5.8
1. Ejstrup,NB,160,5.3
1. Ejstrup,SF,108,3.6
1. Ejstrup,LA,210,6.9
1. Ejstrup,M,196,6.5
1. Ejstrup,DF,72,2.4
1. Ejstrup,FG,4,0.1
1. Ejstrup,V,566,18.7
1. Ejstrup,ALT,32,1.1
1. Ejstrup,DD,722,23.9
1. Ejstrup,EL,52,1.7
1. Errindlev,UP,4,0.4
1. Errindlev,S,398,40.0
1. Errindlev,R,4,0.4
1. Errindlev,K,30,3.0
1. Errindlev,NB,42,4.2
1. Errindlev,SF,40,4.0
1. Errindlev,LA,30,3.0
1. Errindlev,M,94,9.4
1. Errindlev,DF,64,6.4
1. Errindlev,FG,2,0.2
1. Errindlev,V,108,10.8
1. Errindlev,ALT,14,1.4
1. Errindlev,DD,130,13.1
1. Errindlev,EL,34,3.4
1. Frederiks,UP,2,0.1
1. Frederiks,S,1102,28.3
1. Frederiks,R,44,1.1
1. Frederiks,K,454,11.6
1. Frederiks,NB,184,4.7
1. Frederiks,SF,214,5.5
1. Frederiks,LA,212,5.4
1. Frederiks,M,212,5.4
1. Frederiks,DF,112,2.9
1. Frederiks,FG,6,0.2
1. Frederiks,V,636,16.3
1. Frederiks,ALT,44,1.1
1. Frederiks,DD,586,15.0
1. Frederiks,EL,56,1.4
1. Frederiksbjerghallerne,UP,6,0.0
1. Frederiksbjerghallerne,S,4116,16.5
1. Frederiksbjerghallerne,R,2458,9.9
1. Frederiksbjerghallerne,K,1188,4.8
1. Frederiksbjerghallerne,NB,230,0.9
1. Frederiksbjerghallerne,SF,3024,12.1
1. Frederiksbjerghallerne,LA,3004,12.1
1. Frederiksbjerghallerne,M,2632,10.6
1. Frederiksbjerghallerne,DF,182,0.7
1. Frederiksbjerghallerne,FG,92,0.4
1. Frederiksbjerghallerne,V,2982,12.0
1. Frederiksbjerghallerne,ALT,2020,8.1
1. Frederiksbjerghallerne,DD,370,1.5
1. Frederiksbjerghallerne,EL,2542,10.2
1. Frederikssund Midt,UP,0,0.0
1. Frederikssund Midt,S,3020,30.2
1. Frederikssund Midt,R,316,3.2
1. Frederikssund Midt,K,600,6.0
1. Frederikssund Midt,NB,446,4.5
1. Frederikssund Midt,SF,808,8.1
1. Frederikssund Midt,LA,812,8.1
1. Frederikssund Midt,M,930,9.3
1. Frederikssund Midt,DF,436,4.4
1. Frederikssund Midt,FG,36,0.4
1. Frederikssund Midt,V,1464,14.6
1. Frederikssund Midt,ALT,216,2.2
1. Frederikssund Midt,DD,518,5.2
1. Frederikssund Midt,EL,392,3.9
1. Fuglebjerg,UP,20,0.4
1. Fuglebjerg,S,1750,31.6
1. Fuglebjerg,R,74,1.3
1. Fuglebjerg,K,228,4.1
1. Fuglebjerg,NB,346,6.2
1. Fuglebjerg,SF,436,7.9
1. Fuglebjerg,LA,294,5.3
1. Fuglebjerg,M,556,10.0
1. Fuglebjerg,DF,298,5.4
