opstillingskreds_dagi,Opstillingskreds,Partibogstav,Stemmetal,procent_22
403565,Sundbyvester,V,3664,8.5
403566,Sundbyøster,ALT,3229,9.3
403566,Sundbyøster,DD,739,2.1
403566,Sundbyøster,DF,589,1.7
403566,Sundbyøster,EL,4426,12.8
403566,Sundbyøster,FG,484,1.4
403566,Sundbyøster,K,1448,4.2
403566,Sundbyøster,LA,2875,8.3
403566,Sundbyøster,M,3336,9.6
403566,Sundbyøster,NB,692,2.0
403566,Sundbyøster,R,2486,7.2
403566,Sundbyøster,S,7249,20.9
403566,Sundbyøster,SF,4190,12.1
403566,Sundbyøster,UP,71,0.2
403566,Sundbyøster,V,2809,8.1
403567,Nørrebro,ALT,6947,15.4
403567,Nørrebro,DD,358,0.8
403567,Nørrebro,DF,352,0.8
403567,Nørrebro,EL,10750,23.8
403567,Nørrebro,FG,1836,4.1
403567,Nørrebro,K,1123,2.5
403567,Nørrebro,LA,2498,5.5
403567,Nørrebro,M,3279,7.2
403567,Nørrebro,NB,370,0.8
403567,Nørrebro,R,3967,8.8
403567,Nørrebro,S,5660,12.5
403567,Nørrebro,SF,5694,12.6
403567,Nørrebro,UP,94,0.2
403567,Nørrebro,V,2320,5.1
403568,Bispebjerg,ALT,3109,11.3
403568,Bispebjerg,DD,501,1.8
403568,Bispebjerg,DF,504,1.8
403568,Bispebjerg,EL,5744,20.8
403568,Bispebjerg,FG,1273,4.6
403568,Bispebjerg,K,829,3.0
403568,Bispebjerg,LA,1514,5.5
403568,Bispebjerg,M,1842,6.7
403568,Bispebjerg,NB,455,1.6
403568,Bispebjerg,R,1881,6.8
403568,Bispebjerg,S,4923,17.8
403568,Bispebjerg,SF,3454,12.5
403568,Bispebjerg,UP,52,0.2
403568,Bispebjerg,V,1501,5.4
403569,Slots,ALT,2039,6.6
403569,Slots,DD,608,2.0
403569,Slots,DF,501,1.6
403569,Slots,EL,3259,10.5
403569,Slots,FG,504,1.6
403569,Slots,K,2769,8.9
403569,Slots,LA,2861,9.2
403569,Slots,M,3097,10.0
403569,Slots,NB,478,1.5
403569,Slots,R,2205,7.1
403569,Slots,S,6330,20.4
403569,Slots,SF,3037,9.8
403569,Slots,UP,57,0.2
403569,Slots,V,3340,10.7
403570,Falkoner,ALT,2927,8.7
403570,Falkoner,DD,432,1.3
403570,Falkoner,DF,360,1.1
403570,Falkoner,EL,3624,10.8
403570,Falkoner,FG,349,1.0
403570,Falkoner,K,2735,8.2
403570,Falkoner,LA,3162,9.4
403570,Falkoner,M,3730,11.1
403570,Falkoner,NB,390,1.2
403570,Falkoner,R,2950,8.8
403570,Falkoner,S,5717,17.1
403570,Falkoner,SF,3611,10.8
403570,Falkoner,UP,34,0.1
403570,Falkoner,V,3501,10.4
403571,Gladsaxe,ALT,1466,3.9
403571,Gladsaxe,DD,1171,3.1
403571,Gladsaxe,DF,1205,3.2
403571,Gladsaxe,EL,2587,6.9
403571,Gladsaxe,FG,668,1.8
403571,Gladsaxe,K,1805,4.8
403571,Gladsaxe,LA,2745,7.3
403571,Gladsaxe,M,4079,10.9
403571,Gladsaxe,NB,914,2.4
403571,Gladsaxe,R,2418,6.5
403571,Gladsaxe,S,10387,27.7
403571,Gladsaxe,SF,4372,11.7
403571,Gladsaxe,UP,49,0.1
403571,Gladsaxe,V,3570,9.5
403572,Hvidovre,ALT,806,2.8
403572,Hvidovre,DD,1331,4.6
403572,Hvidovre,DF,1358,4.7
403572,Hvidovre,EL,1590,5.5
403572,Hvidovre,FG,701,2.4
403572,Hvidovre,K,1328,4.6
403572,Hvidovre,LA,1762,6.1
403572,Hvidovre,M,2806,9.7
403572,Hvidovre,NB,906,3.1
403572,Hvidovre,R,1231,4.3
403572,Hvidovre,S,9335,32.4
403572,Hvidovre,SF,3281,11.4
403572,Hvidovre,UP,42,0.1
403572,Hvidovre,V,2330,8.1
403573,Indre By,ALT,4068,11.6
403573,Indre By,DD,338,1.0
403573,Indre By,DF,290,0.8
403573,Indre By,EL,4998,14.3
403573,Indre By,FG,304,0.9
403573,Indre By,K,2011,5.7
403573,Indre By,LA,3963,11.3
403573,Indre By,M,3847,11.0
403573,Indre By,NB,401,1.1
403573,Indre By,R,3027,8.6
403573,Indre By,S,4869,13.9
403573,Indre By,SF,3533,10.1
403573,Indre By,UP,65,0.2
403573,Indre By,V,3295,9.4
403574,Vesterbro,ALT,5343,12.3
403574,Vesterbro,DD,536,1.2
403574,Vesterbro,DF,433,1.0
403574,Vesterbro,EL,7288,16.7
403574,Vesterbro,FG,742,1.7
403574,Vesterbro,K,1679,3.9
403574,Vesterbro,LA,4072,9.4
403574,Vesterbro,M,4082,9.4
403574,Vesterbro,NB,628,1.4
403574,Vesterbro,R,3729,8.6
403574,Vesterbro,S,6432,14.8
403574,Vesterbro,SF,5167,11.9
403574,Vesterbro,UP,70,0.2
403574,Vesterbro,V,3346,7.7
403575,Brønshøj,ALT,3355,7.6
403575,Brønshøj,DD,922,2.1
403575,Brønshøj,DF,887,2.0
403575,Brønshøj,EL,5792,13.2
403575,Brønshøj,FG,1658,3.8
403575,Brønshøj,K,1866,4.2
403575,Brønshøj,LA,2824,6.4
403575,Brønshøj,M,3630,8.2
403575,Brønshøj,NB,756,1.7
403575,Brønshøj,R,2961,6.7
403575,Brønshøj,S,10176,23.1
403575,Brønshøj,SF,5928,13.5
403575,Brønshøj,UP,75,0.2
403575,Brønshøj,V,3197,7.3
403576,Valby,ALT,2677,7.9
403576,Valby,DD,706,2.1
403576,Valby,DF,581,1.7
403576,Valby,EL,4121,12.1
403576,Valby,FG,897,2.6
403576,Valby,K,1575,4.6
403576,Valby,LA,2931,8.6
403576,Valby,M,3093,9.1
403576,Valby,NB,643,1.9
403576,Valby,R,2409,7.1
403576,Valby,S,7107,20.9
403576,Valby,SF,4244,12.5
403576,Valby,UP,65,0.2
403576,Valby,V,2984,8.8
403577,Rudersdal,ALT,1707,3.3
403577,Rudersdal,DD,1300,2.5
403577,Rudersdal,DF,804,1.5
403577,Rudersdal,EL,1910,3.7
403577,Rudersdal,FG,187,0.4
